ID,SongTitle,FirstLine,Year,Songwriter,Tags,tag_id,Copyright,Lyrics,edit_flg,fav_flg
45,He's Got The Whole World In His Hands,He's got the whole world in his hands,,Unknown,"Children's Songs, God's Creation, Love of God, Afro-American Spiritual","6, 11, 21, 1",© Words: Public Domain,"<p>1<br/>He's got the whole world in His hands <br/>He's got the whole world in His hands,<br/>He's got the whole world in His hands,<br/>He's got the whole world in His hands.</p><p>2<br/>He's got the the little bitty baby in His hands (x3)<br/>He's got the whole world in His hands.</p><p>3<br/>He's got you and me, brother, in His hands (x3)<br/>He's got the whole world in His hands.</p><p>4<br/>He's got ev'rybody here in His hands (x3)<br/>He's got the whole world in His hands.</p>",,FALSE
46,Here I Am To Worship,"Light of the world, You stepped down into darkness",2000,Tim Hughes,"Praise & Worship, Love of God","30, 21",© 2000 Thankyou Music (Admin. by EMI Christian Music Publishing),"<p>Light of the world, You stepped down into darkness<br/>Opened my eyes let me see<br/>Beauty that made this heart adore You <br/>Hope of a life spent with You</p><p>Chorus:<br/>And here I am to worship<br/>Here I am to bow down<br/>Here I am to say that You're my God<br/>You're altogether lovely<br/>Altogether worthy<br/>Altogether wonderful to me</p><p>King of all days<br/>Oh so highly exalted <br/>Glorious in heaven above<br/>Humbly You came to the earth You created<br/>All for love's sake became poor</p><p>Chorus</p><p>I'll never know how much it cost to see my sin upon that cross<br/>I'll never know how much it cost to see my sin upon that cross<br/>And I'll never know how much it cost to see my sin upon that cross<br/>I'll never know how much it cost to see my sin upon that cross</p><p>Chorus</p><p>So Here I am to worship<br/>Here I am to bow down<br/>Here I am to say that you're my God</p>",,FALSE
47,High and Lifted Up,High and lifted up in all the earth is who You are,1998,"Carol Cymbala, Oliver Wells",Praise & Worship,30,© Carol Joy Music (admin. by ICG)/Wello Music (admin. by CMI),"<p>High and lifted up in all the earth is who You are<br/>High and lifted up in all the earth is who You are<br/>High and lifted up in all the earth is who You are<br/>Lord we exalt Your name, Lord we exalt Your name</p><p>Alto: oh Lord we praise you (x4)<br/>High and lifted up<br/>Sop: oh Lord we praise you (x4)<br/>High and lifted up<br/>Ten: oh Lord we praise you (x4)<br/>High and lifted up<br/>O Lord we praise you (x7)<br/>High and lifted up!<br/>We praise, we love Ya High and lifted up!<br/>Your word (x7)<br/>High and lifted up!<br/>We praise You (x7)<br/>High and lifted up</p>",,FALSE
48,Holy Ghost Power is Moving,The Holy Ghost power is moving just like a magnet,,Unknown,"Holy Spirit, Pentecost, Short Chorus, Caribbean","16, 27, 39, 48",Copyright Information Unknown,"<p>The Holy Ghost power is moving just like a magnet (magnet, a magnet)<br/>The Holy Ghost power is moving just like a magnet (magnet, a magnet)<br/>Moving here, moving there<br/>Just like the day of Pentecost<br/>The Holy Ghost power is moving just like a magnet</p>",,FALSE
49,Holy Spirit Rain Down,"Holy Spirit, rain down, rain down",1997,Russell Fragar,"Holy Spirit, Short Chorus","16, 39",© 1997 Hillsong Music Publishing (Admin. by EMI Christian Music Publishing),"<p>Holy Spirit, rain down, rain down<br/>Oh Comforter and Friend<br/>How we need Your touch again<br/>Holy Spirit, rain down, rain down<br/>Let Your power fall<br/>Let Your voice be heard<br/>Come and change our hearts<br/>As we stand on Your word<br/>Holy Spirit, rain down</p>",,FALSE
50,How Deep The Father's Love For Us,How deep the Father’s love for us,1995,Stuart Townend,"Love of God, Calvary","21, 5",© 1995 Thankyou Music (Admin. by EMI Christian Music Publishing),"<p>How deep the Father’s love for us,<br/>How vast beyond all measure,<br/>That He should give His only Son<br/>To make a wretch His treasure.<br/>How great the pain of searing loss -<br/>The Father turns His face away,<br/>As wounds which mar the Chosen One<br/>Bring many sons to glory.</p><p>Behold the man upon a cross,<br/>My sin upon His shoulders;<br/>Ashamed, I hear my mocking voice<br/>Call out among the scoffers.<br/>It was my sin that held Him there<br/>Until it was accomplished;<br/>His dying breath has brought me life -<br/>I know that it is finished.</p><p>I will not boast in anything,<br/>No gifts, no power, no wisdom;<br/>But I will boast in Jesus Christ,<br/>His death and resurrection.<br/>Why should I gain from His reward?<br/>I cannot give an answer;<br/>But this I know with all my heart -<br/>His wounds have paid my ransom</p>",,FALSE
51,How Great Is Our God,The splendor of a king clothed in majesty,2004,"Chris Tomlin, Ed Cash, Jesse Reeves","Majesty of God, Praise & Worship, Short Chorus","22, 30, 39",© 2004 sixsteps Music (Admin. by EMI Christian Music Publishing),"<p>The splendor of a king<br/>Clothed in majesty<br/>Let all the earth rejoice<br/>All the earth rejoice</p><p>He wraps Himself in light,<br/>And darkness tries to hide<br/>And trembles at His voice<br/>Trembles at His voice</p><p>How great is our God – sing with me<br/>How great is our God – and all will see<br/>How great, how great is our God</p><p>Age to age He stands<br/>And time is in His hands<br/>Beginning and the end<br/>Beginning and the end</p><p>The Godhead Three in One<br/>Father, Spirit and Son<br/>Lion and the Lamb<br/>Lion and the Lamb</p><p>How great is our God – sing with me<br/>How great is our God – and all will see<br/>How great, how great is our God</p><p>Name above all names<br/>Worthy of all praise<br/>My heart will sing<br/>How great is our God</p><p>Name above all names<br/>You're worthy of all praise<br/>And my heart will sing<br/>How great is our God</p><p>(x3)<br/>How great is our God – sing with me<br/>How great is our God – and all will see<br/>How great, how great is our God<br/></p>",,FALSE
52,I Am A C-H-R-I-S-T-I-A-N,I am a C,1999,"Karen Mitzo Hilderbrand, Kim Mitzo Thompson","Children's Songs, Discipleship, Short Chorus","6, 8, 39","© 1999 Twin Sisters IP, LLC",<p>I am a C<br/>I am a C-H<br/>I am a C-H-R-I-S-T-I-A-N<br/>and I have C-H-R-I-S-T<br/>in my H-E-A-R-T<br/>and I will L-I-V-E E-T-E-R-N-A-L-L-Y</p>,,FALSE
53,"I am a Promise, I am a Possibility","I am a promise, I am a possibility",1975,Gloria & William J. Gaither,"Children's Songs, Obedience, Short Chorus","6, 25, 39","© 1975 William J. Gaither, Inc. (Admin. by Gaither Copyright Management)","<p>I am a promise, I am a possibility<br/>I am a promise, promise, with a capital ""P""<br/>I am a great big bundle of potentiality<br/>Oh yeah<br/>And I'm learning (learning) to hear God's voice,<br/>And I'm trying (trying) to make the right choice<br/>I'm a promise to be anything God wants me to be</p>",,FALSE
54,I Am Under The Rock,"I am under the rock, the rock is higher than I",,Unknown,"Refuge, Short Chorus, Caribbean","34, 39, 48",Copyright Information Unknown,"<p>I am under the rock, the rock is higher than I<br/>Jehovah hide/guide me, I'm under the rock<br/>Go tell my enemy, I'm under the rock<br/>Jehovah hide/guide me, I'm under the rock</p>",,FALSE
55,I Command My Body To Praise The Lord,I command my head to praise the Lord,,Unknown,"Praise & Worship, Short Chorus, Caribbean","30, 39, 48",Copyright Information Unknown,<p>I command my head to praise the Lord (REPEAT)<br/>Head; praise the Lord (ROTATE HEAD)</p><p>I command my shoulders to praise the Lord (REPEAT)<br/>Shoulders; praise the Lord (MOVE SHOULDERS UP AND DOWN)</p><p>I command my hands to praise the Lord (REPEAT)<br/>Hands; praise the Lord (CLAP)</p><p>I command my feet to praise the Lord (REPEAT)<br/>Feet; praise the Lord (STOMP)</p><p>I command my body to praise the Lord (REPEAT)<br/>Body; praise the Lord (MOVE THE WHOLE BODY)</p>,,FALSE
56,"I Feel Good, Good, Good","I feel good, good, good",,Unknown,"Joy, Jesus, Short Chorus","17, 49, 39",Copyright Information Unknown,"<p>I feel good, good, good<br/>I feel good, yes, wonderful good<br/>Every time I talk about Jesus<br/>I feel good, good, good</p>",,FALSE
57,I Feel Like Pressing My Way,I feel like pressing,,Unknown,"Perseverance, Victory, Short Chorus, Caribbean","28, 46, 39, 48",Copyright Information Unknown,"<p>I feel like pressing (x2)<br/>I feel like pressing my way<br/>I'm on my way to glory, <br/>and I feel like pressing my way.</p>",,FALSE
58,I Feel Like Running,"I feel like running, skipping, praise the Lord",,Unknown,"Joy, Praise & Worship, Short Chorus, Caribbean","17, 30, 39, 48",Copyright Information Unknown,"<p>I feel like running, skipping , praising the Lord<br/>for what He’s done for me<br/>He has set my spirit free</p>",,FALSE
59,I Give Myself Away,I give myself away,2008,"Sam Hinn, William McDowell",Surrender,41,"© 2008 Delivery Room Publishing (Admin. by Fun Attic Music, LLC)","<p>Chorus:<br/>I give myself away<br/>I give myself away<br/>So You can use me<br/>I give myself away<br/>I give myself away<br/>So You can use me</p><p>(Repeat Chorus)</p><p>1<br/>Here I am<br/>Here I stand<br/>Lord, my life is in your hands<br/>Lord, I'm longing to see<br/>Your desires revealed in me</p><p>Chorus:</p><p>2<br/>Take my heart<br/>Take my life<br/>As a living sacrifice<br/>All my dreams, all my plans<br/>Lord I place them in your hands</p><p>Chorus (x2)</p><p>Bridge:<br/>My life is not my own<br/>To you I belong<br/>I give myself, I give myself to you</p><p>Repeat Bridge (x6)</p>",,FALSE
60,I Give You My Heart,"This is my desire, to Honor You",1995,Reuben Morgan,Surrender,41,© 1995 Hillsong Music Publishing (Admin. by EMI Christian Music Publishing),"<p>This is my desire, to honor You<br/>Lord with all my heart, I worship You<br/>All I have within me, I give You praise<br/>All that I adore is in You</p><p>Chorus:<br/>Lord, I give You my heart, I give You my soul<br/>I live for You alone<br/>Every breath that I take, every moment I'm awake<br/>Lord have Your way in me</p><p>This is my desire to honor You<br/>Lord with all my heart I worship You<br/>And all I have within me I give You praise<br/>And all that I adore is in You, is in You</p><p>Chorus</p>",,FALSE
61,I Have Decided To Follow Jesus,I have decided to follow Jesus,,Unknown,"Discipleship, Obedience, Born Again, Caribbean","8, 25, 4, 48",Copyright Information Unknown,"<p>1<br/>I have decided to follow Jesus,<br/>I have decided to follow Jesus,<br/>I have decided to follow Jesus--<br/>no turning back, no turning back.</p><p>2<br/>The world behind me, the cross before me,<br/>the world behind me, the cross before me,<br/>the world behind me, the cross before me--<br/>no turning back, no turning back.</p><p>3<br/>Though none go with me, I still will follow,<br/>though none go with me, I still will follow,<br/>though none go with me, I still will follow,<br/>no turning back, no turning back.</p><p>4<br/>Will you decide now to follow Jesus?<br/>Will you decide now to follow Jesus?<br/>Will you decide now to follow Jesus?--<br/>no turning back, no turning back.</p>",,FALSE
62,I Keep Falling In Love With Him,I keep falling in love with Him,1976,Lanny Wolf,Love for God,20,© 1976 Lanny Wolfe Music (Admin. by EMI Christian Music Publishing),"<p>1<br/>I keep falling in love with Him<br/>Over and over and over and over again<br/>I keep falling in love with Him<br/>Over and over and over and over again</p><p>Chorus:<br/>He gets sweeter and sweeter as the days go by<br/>Oh what a love between my Lord and I<br/>I keep falling in love with Him<br/>Over and over and, over and over again</p><p>2<br/>He keeps blessing me over and<br/>Over and over and over and over again<br/>He keeps blessing me over and<br/>Over and over and over and over again</p><p>3<br/>He keeps cleansing me over and<br/>Over and over and over and over again<br/>He keeps cleansing me over and<br/>Over and over and over and over again</p>",,FALSE
63,I Love Him Better Every D-A-Y,I love Him better every D-A-Y!,1926,"Sidney E. Cox, Thoro Harris","Love for God, Short Chorus","20, 39","© 1926. Renewed 1953 Lillenas Publishing Company (Admin. by Music Services, Inc.)","<p>I love Him better every D-A-Y!<br/>I love Him better every D-A-Y!<br/>Close by His S-I-D-E<br/>I will A-B-I-D-E<br/>I love Him better every D-A-Y!</p><p>I love Him better every W-E-E-K!</p><p>I love Him better every M-O-N-T-H!</p><p>I love Him better every Y-E-A-R!</p><p>I love Him better every day, week, month, year!</p>",,FALSE
64,I Love You Lord (And I Lift My Voice),I love You Lord and I lift my voice,1978,Laurie Klein,"Love for God, Praise & Worship","20, 30","© 1978, 1980 House Of Mercy Music (Admin. by Maranatha! Music (Capitol CMG))","<p>I love You, Lord<br/>And I lift my voice<br/>To worship You<br/>Oh, my soul, rejoice!</p><p>Take joy my King<br/>In what You hear<br/>Let it be a sweet, sweet sound<br/>In Your ear</p>",,FALSE
65,"I Say Yes Lord, Yes","I say yes Lord, yes",1983,Lyn Keesecker,"Surrender, Obedience, Service, Trust","41, 25, 38, 44","© 1983 Manna Music, Inc. (Admin. by ClearBox Rights, LLC)","<p>I say yes Lord, yes<br/>To your will and to your way<br/>I say yes Lord yes<br/>I will trust you and obey<br/>When your spirit speaks to me<br/>With my whole heart I'll agree<br/>And my answer will be ""yes Lord, yes""</p>",,FALSE
66,I Wanna Make Heaven My Home,I wanna make heaven my home,1999,Robert Foster,"Heaven, Short Chorus, Caribbean","15, 39, 48",Copyright Information Unknown,<p>I wanna make heaven my home<br/>I don't want labour in vain<br/>Heaven my home<br/>Lord help me to make it in<br/>For no matter what it takes<br/>I really wanna make heaven my home</p>,,FALSE
67,I Want To Go To Heaven And Rest,I want to go to heaven and rest,,Unknown,"Heaven, Short Chorus, Caribbean","15, 39, 48",Copyright Information Unknown,<p>I want to go to heaven and rest<br/>I'm tired of staying down here<br/>I'm tired of the troubles and trials<br/>I want to go to heaven and rest</p>,,FALSE
68,I Will Bless The Lord At All Times (Psalm 34),I will bless the Lord at all times,1977,Ross Fleming,"Praise & Worship, Scripture","30, 37",© 1977 Scripture In Song (Admin. by Maranatha! Music (Capitol CMG)),"<p>1<br/>I will bless the Lord at all times<br/>His praise shall continually be in my mouth</p><p>Chorus:<br/>In my mouth<br/>In my mouth<br/>In my mouth<br/>His praise shall continually be in my mouth</p><p>2<br/>Praise God from whom all blessings flow</p><p>3<br/>Praise Him all creatures here below</p><p>4<br/>Praise Father, Son, and Holy Ghost</p><p>Bridge:<br/>His praise shall continually be in my mouth<br/>Ohh praise<br/>Yes praise<br/>Your praise<br/>God's praise<br/>Ahh praise<br/>Ohh praise<br/>His praise shall continually be in my mouth</p>",,FALSE
69,I Will Enter His Gates (He Has Made Me Glad),I will enter his gates with thanksgiving in my heart,1976,Leona Von Brethorst,"Joy, Short Chorus, Scripture","17, 39, 37","© 1976 Maranatha Praise, Inc. (Admin. by Maranatha! Music (Capitol CMG))","<p>I will enter his gates with thanksgiving in my heart,<br/>I will enter his courts with praise.<br/>I will say this is the day that the Lord has made.<br/>I will rejoice, for he has made me glad.<br/>He has made me glad; he has made me glad.<br/>I will rejoice, for he has made me glad.<br/>He has made me glad; he has made me glad.<br/>I will rejoice, for he has made me glad.</p><p>(Psalm 100:4)</p>",,FALSE
70,I Will Magnify The Lord,I will magnify the Lord,1990,"Becky & Jimmy Pearce, Cindy Cruse, Tim Minor","Majesty of God, Praise & Worship","22, 30","© 1990 Love Jones Music (Admin. by Word Music Group, Inc.)",<p>I will magnify the Lord<br/>For He is worthy<br/>To be praised<br/>I will magnify the Lord<br/>For He is worthy<br/>To be praised</p><p>Hosannah! Blessed be the Rock<br/>Blessed be the Rock of my salvation<br/>Hosannah! Blessed be the Rock<br/>Blessed be the Rock of my salvation</p><p>We will magnify the Lord<br/>For He is worthy<br/>To be praised<br/>We will magnify the Lord<br/>For He is worthy<br/>To be praised</p><p>Hosannah! Jesus is the Rock<br/>Jesus is the Rock of my salvation<br/>Hosannah! Jesus is the Rock<br/>Jesus is the Rock of my salvation</p>,,FALSE
71,I'm a New Creation (I'm a Brand New Man),I'm a new creation,1976,David Ingles,"Born Again, Work of God in Man, Victory, Short Chorus","4, 47, 46, 39",© 1976 David Ingles Music,<p>I'm a new creation<br/>I'm a brand new man<br/>Old things are passed away<br/>I'm born again<br/>More than a conqueror<br/>That's who I am<br/>I'm a new creation<br/>I'm a brand new man</p>,,FALSE
72,"I'm Gonna Sing, Sing, Sing","I'm gonna sing, sing, sing",,Unknown,"Heaven, Jesus, Caribbean, Short Chorus","15, 49, 48, 39",Copyright Information Unknown,"<p>I'm gonna sing, sing, sing<br/>I'm gonna shout, shout, shout<br/>I'm gonna sing, I'm gonna shout:<br/>""Praise the Lord!""<br/>For when the gates are opened wide<br/>I'm gonna sit by Jesus' Side<br/>I'm gonna sing, I'm gonna shout:<br/>""Praise the Lord!""</p>",,FALSE
73,I'm Gonna Walk Those Streets of Glory,I'm gonna walk those streets of glory by and by,,Unknown,"Heaven, Short Chorus, Caribbean","15, 39, 48",Copyright Information Unknown,<p>I'm gonna walk those streets of glory by and by<br/>I'm gonna walk those streets of glory by and by<br/>I'm gonna walk those streets of glory<br/>I'm gonna sing redemption story<br/>I'm gonna walk those streets of glory by and by</p>,,FALSE
74,I'm In The Lord's Army,I may never march in the infantry,,Unknown,"Children's Songs, Christian Warfare, Service, Short Chorus","6, 7, 38, 39",Copyright Information Unknown,<p>I may never march in the infantry (march)<br/>Ride in the cavalry (pretend to ride a horse)<br/>Shoot the artillery (clap hands)<br/>I may never fly o'er the enemy (spread arms out and pretend to be a plane)<br/>But I'm in the Lord's army! (point one finger up to God)<br/>Yes Sir! (salute)</p><p>I'm in the Lord's army!<br/>Yes sir!<br/>I'm in the Lord's army!<br/>Yes sir!</p><p>I may never march in the infantry<br/>Ride in the cavalry<br/>Shoot the artillery<br/>I may never fly o'er the enemy<br/>But I'm in the Lord's army!<br/>Yes sir!</p>,,FALSE
75,I've Got My Mind Made Up,I've got my mind made up and I won't turn back,,Unknown,"Perseverance, Short Chorus, Caribbean","28, 39, 48",Copyright Information Unknown,<p>I've got my mind made up and I won't turn back<br/>Because I want to see my Jesus someday<br/>I've got my mind made up and I won't turn back<br/>Because I want to see my Jesus someday</p>,,FALSE
76,If You Know The Lord Is Keeping You,"If you know the Lord is keeping you, what are you worried about?",,Unknown,"Faith, Trust, God's Faithfulness, Short Chorus","10, 44, 12, 39",Copyright Information Unknown,"<p>If you know the Lord is keeping you, what are you worried about?<br/>If you know the Lord is keeping you, why don't you sing and shout?<br/>Glory hallelujah, praise his name<br/>Everyday He's just the same<br/>If you know the Lord is keeping you, what are you worried about?</p>",,FALSE
77,In Christ Alone,In Christ alone my hope is found,2001,"Keith Getty, Stuart Townend","Calvary, Jesus, Resurrection, Victory","5, 49, 35, 46",© 2001 Thankyou Music (Admin. by EMI Christian Music Publishing),"<p>1<br/>In Christ alone my hope is found;<br/>He is my light, my strength, my song;<br/>This cornerstone, this solid ground,<br/>Firm through the fiercest drought and storm.<br/>What heights of love, what depths of peace,<br/>When fears are stilled, when strivings cease!<br/>My comforter, my all in all&mdash;<br/>Here in the love of Christ I stand.<br/><br/>2 In Christ alone, Who took on flesh,<br/>Fullness of God in helpless babe!<br/>This gift of love and righteousness,<br/>Scorned by the ones He came to save.<br/>Till on that cross as Jesus died,<br/>The wrath of God was satisfied;<br/>For ev'ry sin on Him was laid&mdash;<br/>Here in the death of Christ I live.<br/><br/>3 There in the ground His body lay,<br/>Light of the world by darkness slain;<br/>Then bursting forth in glorious day,<br/>Up from the grave He rose again!<br/>And as He stands in victory,<br/>Sin's curse has lost its grip on me;<br/>For I am His and He is mine&mdash;<br/>Bought with the precious blood of Christ.<br/><br/>4 No guilt in life, no fear in death&mdash;<br/>This is the pow'r of Christ in me;<br/>From life's first cry to final breath,<br/>Jesus commands my destiny.<br/>No pow'r of hell, no scheme of man,<br/>Can ever pluck me from His hand;<br/>Till He returns or calls me home&mdash;<br/>Here in the pow'r of Christ I'll stand.</p>",,FALSE
78,Into My Heart,"Into my heart, into my heart",1924,Harry D. Clarke,"Presence of God, Meditation, Short Chorus","32, 23, 39",© Words: 1924. Renewed 1952 Hope Publishing Company,"<p>Into my heart, into my heart<br/>Come into my heart, Lord Jesus<br/>Come in today, come in to stay*<br/>Come into my heart, Lord Jesus.</p><p>*Alternately: Come in to stay, come in I pray</p>",,FALSE
79,It Will Soon Be Done,"It will soon be done, all my troubles and trials",1934,Cleavant Derricks,"Heaven, Peace, Caribbean","15, 26, 48","© 1934. Renewed 1962 Bridge Building Music, Inc. (Admin. by Brentwood-Benson Music Publishing, Inc.)","<p>It will soon be done<br/>All my troubles and trials<br/>When I get home<br/>On the other side<br/>I'm gonna shake my hands with the Elders<br/>I'm gonna tell all the people ""Good Morning""<br/>I'm gonna sit down beside my Jesus<br/>I'm gonna sit down and rest a little while</p><p>(Caribbean version adapted from the original song)</p>",,FALSE
80,"It's Me, Oh Lord (Standing in the need of prayer)","Not my brother, not my sister, but it's me oh Lord",,Unknown,"Prayer, Short Chorus, Afro-American Spiritual","31, 39, 1",Copyright Information Unknown,"<p>Not my brother, not my sister, but it's me oh Lord<br/>Standing in the need of prayer<br/>Not my brother, not my sister, but it's me oh Lord<br/>Standing in the need of prayer<br/>It's me, it's me, it's me, oh Lord<br/>Standing in the need of prayer<br/>It's me, it's me, it's me, oh Lord<br/>Standing in the need of prayer</p><p>Not the preacher, not the sinner, but it's me oh Lord<br/>Standing in the need of prayer<br/>Not the preacher, not the sinner, but it's me oh Lord<br/>Standing in the need of prayer<br/>It's me, it's me, it's me, oh Lord<br/>Standing in the need of prayer<br/>It's me, it's me, it's me, oh Lord<br/>Standing in the need of prayer</p><p>Not my mother, not my father, but it's me oh Lord<br/>Standing in the need of prayer<br/>Not my mother, not my father, but it's me oh Lord<br/>Standing in the need of prayer<br/>It's me, it's me, it's me, oh Lord<br/>Standing in the need of prayer<br/>It's me, it's me, it's me, oh Lord<br/>Standing in the need of prayer</p><p>It's me, it's me, it's me, oh Lord<br/>Standing in the need of prayer<br/>It's me, it's me, it's me, oh Lord<br/>Standing in the need of prayer</p>",,FALSE
81,J-O-Y Joy,"J-O-Y Joy, Joy in the Holy Ghost",,Unknown,"Joy, Short Chorus, Caribbean","17, 39, 48",Copyright Information Unknown,"<p>J-O-Y Joy, Joy in the Holy Ghost<br/>J-O-Y Joy, Joy in the Lord<br/>Don't let nobody steal your joy<br/>Don't let nobody steal your joy<br/>Don't let nobody steal your joyyyyyy<br/>Joy in the Lord!</p>",,FALSE
82,Jehovah-Jireh,"Jehovah Jireh, my Provider",1974,Merla Watson,"Power of God, Grace, Short Chorus","29, 13, 39",© Copyright 1974 Universal-MCA Music Publishing obo Sound III Music.,"<p>Jehovah Jireh, my Provider<br/>His grace is sufficient for me, for me, for me<br/>Jehovah Jireh, my Provider<br/>His grace is sufficient for me</p><p>My God shall supply all my needs<br/>According to His riches in glory<br/>He will give His angels charge over me<br/>Jehovah Jireh cares for me, for me, for me<br/>Jehovah Jireh cares for me</p>",,FALSE
83,Jesus (He's Alright),"Jesus, He's alright",,Unknown,"Jesus, Short Chorus, Caribbean","49, 39, 48",Copyright Information Unknown,"<p>Jesus, He's alright<br/>He's got the power over day and night<br/>He's got the power over death and the grave<br/>Jesus, He's alright</p><p>Sunday, He's alright....</p><p>Monday, He's alright....</p><p>Tuesday, He's alright....</p><p>Wednesday, He's alright....</p><p>Thursday, He's alright....</p><p>Friday, He's alright....</p><p>Sabbath, He's alright....</p>",,FALSE
84,Jesus Love Is a Bubbling Over,Jesus love is a bubbling over,,Unknown,"Children's Songs, Love, Jesus, Short Chorus","6, 19, 49, 39",Copyright Information Unknown,"<p>Jesus love is a bubbling over (x3) <br/>Hallelujah!</p><p>""Mm"" love is a bubbling over (x3) <br/>Hallelujah!</p><p>Mm, mmm ... bubbling over (x3) <br/>Hallelujah!</p><p>Mm, mm, mmmmm ... over (x3) <br/>Hallelujah!</p><p>Mm, mm, mmmmm, mmmm (x3) <br/>Hallelujah!</p>",,FALSE
85,Jesus Loves Me (This I know),Jesus loves me! This I know,,Anna Bartlett Warner,"Children's Songs, Jesus, Love of God","6, 49, 21",© Words: Public Domain,"<p>Jesus loves me! This I know<br/>For the Bible tells me so<br/>Little ones to Him belong<br/>They are weak, but He is strong.</p><p>Refrain:<br/>Yes, Jesus loves me!<br/>Yes, Jesus loves me!<br/>Yes, Jesus loves me!<br/>The Bible tells me so.</p><p>Jesus loves me! He who died<br/>Heaven's gate to open wide<br/>He will wash away my sin<br/>Let His little child come in.</p><p>Jesus loves me! He will stay<br/>Close beside me all the way<br/>Thou hast bled and died for me<br/>I will henceforth live for Thee.</p>",,FALSE
86,Jesus Name So Sweet,"Jesus name so sweet, Emanuel name so sweet",,Unknown,"Jesus, Short Chorus, Caribbean","49, 39, 48",Copyright Information Unknown,"<p>Jesus name so sweet, Emanuel name so sweet<br/>Jesus name so sweet, Emanuel name so sweet<br/>Jesus name so sweet, Emanuel name so sweet<br/>Jesus name so sweet, Emanuel name so sweet</p><p>Every rock mi rock upon Jesus <br/>Jesus' name so sweet<br/>Every rock mi rock upon Jesus <br/>Jesus' name so sweet</p>",,FALSE
87,Jesus Now More Than Ever,He healed the blind man,1980,John Stallings,"Unity, Jesus","45, 49","© 1980 HeartWarming Music (Admin. by Brentwood-Benson Music Publishing, Inc.)",<p>1<br/>He healed the blind man<br/>Walked on the waters<br/>And He raised up<br/>Jairus' daughter</p><p>2<br/>He fed the hungry<br/>Cleansed the leper<br/>But we need Jesus now<br/>More than ever</p><p>Chorus<br/>Jesus now more than ever<br/>We are sailing in stormy weather<br/>All His children should get together<br/>For we need Jesus now more than ever</p><p>3<br/>He touched the lame man<br/>And he started walking<br/>He touched the dumb man<br/>And he started talking</p><p>4<br/>He put their lives all<br/>Back together<br/>But we need Jesus now<br/>More than ever</p><p>Chorus</p><p>5<br/>In the book of Revelation<br/>Read about the Tribulation<br/>We are heading in that direction<br/>Only Jusus' blood can give protection</p><p>Chorus (x2)</p>,,FALSE
88,Jesus on the Telephone,Jesus on the telephone,,Unknown,"Children's Songs, Jesus, Caribbean, Short Chorus","6, 49, 48, 39",Copyright Information Unknown,"<p>Jesus on the telephone<br/>Tell Him what you need (x3)<br/>Jesus on the telephone <br/>Tell Him what you need<br/>Tell Him what you need right now<br/>Some want silver, some want gold<br/>But I want Jesus in my soul<br/>Jesus on the telephone <br/>Tell Him what you need<br/>Tell Him what you need right now</p>",,FALSE
89,"Jesus, Name Above All Names","Jesus, name above all names",1974,Naida Hairn,"Jesus, Short Chorus, Meditation","49, 39, 23","© 1974, 1978 Scripture In Song (Admin. by Maranatha! Music (Capitol CMG))","<p>Jesus, name above all names<br/>Beautiful Saviour, Glorious Lord<br/>Emmanuel, God is With Us<br/>Blessed Redeemer, Living Word</p><p>(Phillipians 2:9)</p>",,FALSE
90,"Joy, Joy, Joy To My Soul",Well you can tell the world about this,,Unknown,"Joy, Jesus, Evangelism, Short Chorus","17, 49, 9, 39",Copyright Information Unknown,<p>Well you can tell the world about this <br/>You can tell the nations about that<br/>Tell them Jesus has come<br/>Tell them that the comforter has come<br/>He brings joy to my soul (x2)</p><p>Adapted from original version</p>,"NOTE: may also have been from 1983, songwriter Hamilton Camp's ""You Can Tell The World""",FALSE
91,Kumbayah,"Kum ba yah, my lord, Kum ba yah!",,Unknown,"Prayer, Afro-American Spiritual","31, 1",© Words: Public Domain,"<p>Kum ba yah, my lord, Kum ba yah!<br/>Kum ba yah, my lord, Kum ba yah!<br/>Kum ba yah, my lord, Kum ba yah.<br/>O Lord, Kum ba yah</p><p>Someone's crying, Lord, Kum ba yah!<br/>Someone's crying, Lord, Kum ba yah!<br/>Someone's crying, Lord, Kum ba yah!<br/>O Lord, Kum ba yah</p><p>Someone's singing, Lord, Kum ba yah!<br/>Someone's singing, Lord, Kum ba yah!<br/>Someone's singing, Lord, Kum ba yah!<br/>O Lord, Kum ba yah</p><p>Someone's praying, Lord, Kum ba yah!<br/>Someone's praying, Lord, Kum ba yah!<br/>Someone's praying, Lord, Kum ba yah!<br/>O Lord, Kum ba yah</p>",,FALSE
